U[V],I[mA],U_range[V],I_range[mA],u(U)[V],u(I)[mA]
2.3,0,1,2,0.023,0.0010
2.35,0.001,1,2,0.023,0.0010
2.373,0.003,1,2,0.023,0.0010
2.4,0.005,1,2,0.024,0.0010
2.425,0.01,1,2,0.024,0.0011
2.453,0.018,1,2,0.024,0.0011
2.501,0.044,1,2,0.025,0.0014
2.552,0.093,1,2,0.025,0.0017
2.601,0.174,1,2,0.025,0.0024
2.65,0.301,1,2,0.026,0.0034
2.7,0.503,1,2,0.026,0.0050
2.75,0.824,1,2,0.027,0.0076
2.8,1.314,1,2,0.027,0.012
2.85,2.05,1,20,0.028,0.017
2.9,3.12,1,20,0.028,0.026
2.95,4.59,1,20,0.029,0.038
3,6.6,1,20,0.029,0.054
3.05,8.15,1,20,0.029,0.066
3.1,12.08,1,20,0.030,0.098
3.16,16.25,1,20,0.030,0.13
