t,I_ac,cos(phi),I_dc,U_dc
0,0.173,0.52,2.15,9.25
0.5,0.181,0.53,2.2,9.35
1,0.181,0.53,2.2,9.35
1.5,0.181,0.53,2.2,9.35
2,0.181,0.53,2.2,9.35
2.5,0.184,0.52,2.23,9.42
3,0.184,0.52,2.23,9.42
3.5,0.188,0.5,2.23,9.45
4,0.188,0.5,2.23,9.45
4.5,0.188,0.5,2.23,9.45
5,0.011,0.38,0.56,5.05
5.5,0.011,0.38,0.56,5.05
6,0.03,0.43,0.45,5.4
6.5,0.03,0.43,0.45,5.4
7,0.03,0.43,0.45,5.4
7.5,0.03,0.43,0.45,5.4
8,0.03,0.43,0.45,5.4
8.5,0.03,0.43,0.45,5.4
9,0.03,0.43,0.45,5.4
9.5,0.03,0.43,0.45,5.4
10,0.03,0.43,0.45,5.4
