Pr,U5,U4_5,U4
0,3.9212,3.4111,2.8638
5,3.6773,3.1529,2.6552
10,3.3767,2.9111,2.3942
15,3.2047,2.7274,2.2204
20,2.9593,2.4866,1.9978
25,2.8992,2.4049,1.9114
30,2.7131,2.2407,1.7774
35,2.5168,2.0296,1.609
40,2.5007,2.0155,1.5771
45,2.474,1.855,1.4454
50,2.3108,1.761,1.3917
55,2.2104,1.6269,1.2687
60,2.0664,1.5979,1.2337
65,2.0505,1.5722,1.1878
70,1.9997,1.5546,1.1565
75,1.9486,1.4902,1.1012
80,1.8684,1.4893,1.0964
85,1.8686,1.4408,1.0677
90,1.837,1.4218,1.0503
95,1.8295,1.3905,1.10181
100,1.7495,1.3834,1.064
