"","TempPt100.C.","epsil.mV.","Rtherm.kOhm.","Rpt100.Ohm."
"1",89.2564349478178,2.572,0.93415,134.375
"2",85.2614319548187,2.385,1.06369,132.84
"3",82.7629284543113,2.27,1.15377,131.88
"4",80.6600213413841,2.174,1.24194,131.072
"5",78.7054628737996,2.087,1.32,130.321
"6",76.8784321890534,2.004,1.40206,129.619
"7",75.3585092262447,1.935,1.47559,129.035
"8",73.9036514587617,1.872,1.54648,128.476
"9",72.4019467506442,1.807,1.62644,127.899
"10",71.1474897847644,1.752,1.70171,127.417
"11",69.9997397392188,1.719,1.76905,126.976
"12",68.9092470655597,1.684,1.83385,126.557
"13",67.9306665278609,1.65,1.90023,126.181
