Average_Load,Deviation,Time,Querries_Count,Migration_count,Procesors_Count,Processes,p,r,z,maxLoad
0,0,0,0,0,50,400,60,30,5,0
5,7,3105,17165,16776
6,7,3184,17718,17235
7,7,3097,17937,17569
9,8,3127,18544,18118
9,8,3183,18461,18027
10,9,3142,18634,18211
11,9,3118,18742,18325
12,10,3122,18894,18485
13,11,3148,19003,18542
14,11,3104,19079,18631
15,12,3139,19254,18715
16,12,3127,19436,18776
17,13,3125,19680,18852
18,13,3128,19901,18949
19,14,3128,20121,18964
20,15,3148,20344,18990
20,15,3159,20667,19016
22,15,3102,21058,19075
22,16,3133,21268,19089
23,16,3128,21761,19136
24,17,3144,22366,19133
26,17,3115,22840,19194
26,17,3137,23377,19232
27,18,3140,23899,19248
29,18,3117,24585,19263
29,18,3141,25104,19263
30,19,3126,25932,19281
31,19,3139,26853,19301
32,19,3125,27991,19374
33,19,3123,28983,19353
34,20,3152,30407,19373
35,20,3121,30910,19353
36,20,3131,32087,19416
36,20,3165,33238,19385
38,20,3125,35000,19428
39,20,3150,36727,19450
40,20,3125,38365,19445
41,21,3126,40452,19478
42,21,3113,41510,19471
43,21,3114,45108,19499
44,21,3133,48009,19509
44,21,3140,49841,19499
46,21,3118,52518,19546
46,22,3135,53715,19498
47,22,3151,60666,19529
49,22,3130,66752,19490
50,22,3132,80426,19515
51,22,3119,75536,19523
51,22,3165,105176,19455
53,22,3119,133167,19412
53,22,3117,177644,19337
55,22,3114,306362,19089
55,22,3130,283496,19148
56,22,3134,447005,18849
57,22,3128,757967,18553
58,22,3128,1120588,18087
59,23,3138,1551792,17750
60,23,3145,2391956,17420
62,22,3104,2901216,16827
62,22,3116,3909008,16366
64,23,3105,6877606,15273
64,23,3127,7662968,15171
65,23,3149,11069926,14471
66,23,3110,15775580,13913
66,24,3143,14480841,13927
68,24,3135,25807600,12491
69,24,3126,33056697,11720
69,23,3138,43894569,11844
71,23,3113,100801591,11206
71,23,3138,697851620,10486
